epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.87521,0.55956,1.51085,1.04996,0.95162,0.65792,0.8822,0.82038,0.49248,1.9896,1.00311,0.000656566,0.000656566,0.000656566
2,16.4788,0.54483,0.80812,1.00791,0.97971,0.93311,0.97806,0.87913,0.60248,0.72805,1.09456,0.00131013,0.00131013,0.00131013
3,23.8776,0.55209,0.68252,1.00084,0.96276,0.9512,0.98331,0.87117,0.54769,0.65907,1.07134,0.0019505,0.0019505,0.0019505
4,31.0828,0.52568,0.58492,0.98121,0.96001,0.93645,0.97355,0.89661,0.5121,0.87635,1.03881,0.0019406,0.0019406,0.0019406
5,38.4564,0.49508,0.48631,0.97107,0.96506,0.95652,0.97841,0.92383,0.44981,0.54547,1.00688,0.0019208,0.0019208,0.0019208
6,45.6696,0.48873,0.45997,0.97147,0.95876,0.87291,0.93429,0.84636,0.57589,0.57563,1.08569,0.001901,0.001901,0.001901
7,52.6851,0.48734,0.42836,0.96814,0.99322,0.97959,0.99263,0.95735,0.39647,0.303,0.94248,0.0018812,0.0018812,0.0018812
8,59.5724,0.46099,0.39075,0.96407,0.97723,0.96656,0.98883,0.95698,0.39732,0.4365,0.99862,0.0018614,0.0018614,0.0018614
9,66.523,0.45032,0.38335,0.96296,0.99604,0.9699,0.98926,0.96209,0.40624,0.28007,0.95474,0.0018416,0.0018416,0.0018416
10,73.3542,0.43392,0.35972,0.94751,0.98987,0.97998,0.99258,0.97058,0.36842,0.31661,0.96486,0.0018218,0.0018218,0.0018218
11,80.2478,0.42328,0.34333,0.93518,0.98656,0.96656,0.98676,0.96111,0.38619,0.32609,0.95092,0.001802,0.001802,0.001802
12,87.1244,0.42289,0.34082,0.93184,0.94129,0.95987,0.9893,0.96766,0.37568,0.41154,0.98051,0.0017822,0.0017822,0.0017822
13,94.1378,0.4158,0.33556,0.93483,0.98421,0.96656,0.9925,0.97114,0.3519,0.26847,0.93239,0.0017624,0.0017624,0.0017624
14,101.129,0.38131,0.31208,0.92673,0.99455,0.98328,0.99295,0.9708,0.38022,0.26226,0.95624,0.0017426,0.0017426,0.0017426
15,108.087,0.39434,0.3199,0.91957,0.99632,0.98997,0.99487,0.96941,0.37218,0.28955,0.95617,0.0017228,0.0017228,0.0017228
16,114.915,0.38955,0.32251,0.92522,0.98397,0.97659,0.99232,0.97079,0.33438,0.29778,0.89561,0.001703,0.001703,0.001703
17,121.759,0.38171,0.31194,0.92455,0.99659,0.97725,0.99429,0.97018,0.34519,0.41606,0.92558,0.0016832,0.0016832,0.0016832
18,128.59,0.38902,0.30857,0.92059,0.99814,0.96656,0.99366,0.97356,0.34062,0.21967,0.93015,0.0016634,0.0016634,0.0016634
19,135.514,0.36739,0.28846,0.91829,0.98636,0.96752,0.99358,0.97844,0.31629,0.2437,0.93638,0.0016436,0.0016436,0.0016436
